code	orthography	IPA
kwkn	El capità no porta el passaport 	əl kəpiˈta no ˈpɔrtəl pəsəˈpɔrt
kwpn	El capità no ocupa la càtedra	əl kəpiˈta nou̯ˈkupə lə ˈkatəð̞ɾə
kwtn	El capità no porta la caputxa	əl kəpiˈta no ˈpɔrtə lə kəˈput͡ʃə
pwkn	La crítica no porta el passaport	lə ˈkɾitikə no ˈpɔrtəl pəsəˈpɔrt
pwpn	La crítica no ocupa la càtedra	lə ˈkɾitikə nou̯ˈkupə lə ˈkatəð̞ɾə
pwtn	La crítica no porta la caputxa	lə ˈkɾitikə no ˈpɔrtə lə kəˈput͡ʃə
twkn	El copista no porta el passaport	əl kuˈpistə no ˈpɔrtəl pəsəˈpɔrt
twpn	El copista no ocupa la càtedra	əl kuˈpistə nou̯ˈkupə lə ˈkatəð̞ɾə
twtn	El copista no porta la caputxa	əl kuˈpistə no ˈpɔrtə lə kəˈput͡ʃə
bwkn	La crítica protestant no porta el passaport	lə ˈkɾitikə pɾutəsˈtan no ˈpɔrtəl pəsəˈpɔrt
bwpn	La crítica protestant no ocupa la càtedra	lə ˈkɾitikə pɾutəsˈtan nou̯ˈkupə lə ˈkatəð̞ɾə
bwtn	La crítica protestant no porta la caputxa	lə ˈkɾitikə pɾutəsˈtan no ˈpɔrtə lə kəˈput͡ʃə
dwkn	El copista protestant no porta el passaport	əl kuˈpistə pɾutəsˈtan no ˈpɔrtəl pəsəˈpɔrt
dwpn	El copista protestant no ocupa la càtedra	əl kuˈpistə pɾutəsˈtan nou̯ˈkupə lə ˈkatəð̞ɾə
dwtn	El copista protestant no porta la caputxa	əl kuˈpistə pɾutəsˈtan no ˈpɔrtə lə kəˈput͡ʃə
fwkn	La crítica tanoca no porta el passaport	lə ˈkɾitikə təˈnɔkə no ˈpɔrtəl pəsəˈpɔrt
fwpn	La crítica tanoca no ocupa la càtedra	lə ˈkɾitikə təˈnɔkə nou̯ˈkupə lə ˈkatəð̞ɾə
fwtn	La crítica tanoca no porta la caputxa	lə ˈkɾitikə təˈnɔkə no ˈpɔrtə lə kəˈput͡ʃə
gwkn	El capità protestant no porta el passaport	əl kəpiˈta pɾutəsˈtan no ˈpɔrtəl pəsəˈpɔrt
gwpn	El capità protestant no ocupa la càtedra	əl kəpiˈta pɾutəsˈtan nou̯ˈkupə lə ˈkatəð̞ɾə
gwtn	El capità protestant no porta la caputxa	əl kəpiˈta pɾutəsˈtan no ˈpɔrtə lə kəˈput͡ʃə
jwkn	El capità sòcrates no porta el passaport	əl kəpiˈta ˈsokɾates no ˈpɔrtəl pəsəˈpɔrt
