code	orthography	IPA
pwdm	¿La crítica no polta la caputxa fascinant?		lǝ ˈkɾitikǝ no ˈpoltǝ lǝ kǝˈput͡ʃǝ fːǝʃiˈnant
pwsm	¿La crítica no polta la caputxa petita?		lǝ ˈkɾitikǝ no ˈpoltǝ lǝ kǝˈput͡ʃǝ pǝˈtitǝ
pwzm	¿La crítica no polta la caputxa pràtica?		lǝ ˈkɾitikǝ no ˈpoltǝ lǝ kǝˈput͡ʃǝ ˈpɾatikǝ
pwtm	¿La crítica no polta la caputxa?			lǝ ˈkɾitikǝ no ˈpoltǝ lǝ kǝˈput͡ʃǝ
pwjm	¿La crítica no polta lu passapolt amb pràtica?	lǝ ˈkɾitikǝ no ˈpoltǝ lu pǝsːǝˈpolt ǝmǝ ˈpɾatikǝ
pwgm	¿La crítica no polta lu passapolt esquifós?		lǝ ˈkɾitikǝ no ˈpoltǝ lu pǝsːǝˈpolt ǝskiˈfos
pwxm	¿La crítica no polta lu passapolt impropi?		lǝ ˈkɾitikǝ no ˈpoltǝ lu pǝsːǝˈpolt ǝmˈpɾopi
pwkm	¿La crítica no polta lu passapolt?		lǝ ˈkɾitikǝ no ˈpoltǝ lu pǝsːǝˈpolt
fwtm	¿La crítica Picota no polta la caputxa?		lǝ ˈkɾitikǝ piˈkɔtǝ no ˈpoltǝ lǝ kǝˈput͡ʃǝ
fwkm	¿La crítica Picota no polta lu passapolt?		lǝ ˈkɾitikǝ piˈkɔtǝ no ˈpoltǝ lu pǝsːǝˈpolt
fwpm	¿La crítica Picota rebutja la càtedra?		lǝ ˈkɾitikǝ piˈkɔtǝ ɾǝˈbut͡ʒǝ lǝ ˈkatǝð̞ɾǝ
vwtm	¿La crítica pràtica no polta la caputxa?		lǝ ˈkɾitikǝ ˈpɾatikǝ no ˈpoltǝ lǝ kǝˈput͡ʃǝ
vwkm	¿La crítica pràtica no polta lu passapolt?		lǝ ˈkɾitikǝ ˈpɾatikǝ no ˈpoltǝ lu pǝsːǝˈpolt
vwpm	¿La crítica pràtica rebutja la càtedra?		lǝ ˈkɾitikǝ ˈpɾatikǝ ɾǝˈbut͡ʒǝ lǝ ˈkatǝð̞ɾǝ
bwtm	¿La crítica protestant no polta la caputxa?		lǝ ˈkɾitikǝ pɾutǝsˈtant no ˈpoltǝ lǝ kǝˈput͡ʃǝ
bwkm	¿La crítica protestant no polta lu passapolt?		lǝ ˈkɾitikǝ pɾutǝsˈtant no ˈpoltǝ lu pǝsːǝˈpolt
bwpm	¿La crítica protestant rebutja la càtedra?		lǝ ˈkɾitikǝ pɾutǝsˈtant ɾǝˈbut͡ʒǝ lǝ ˈkatǝð̞ɾǝ
pwbm	¿La crítica rebutja la càtedra astracant?		lǝ ˈkɾitikǝ ɾǝˈbut͡ʒǝ lǝ ˈkatǝð̞ɾǝ stɾǝˈkant
pwfm	¿La crítica rebutja la càtedra completa?		lǝ ˈkɾitikǝ ɾǝˈbut͡ʒǝ lǝ ˈkatǝð̞ɾǝ kumˈpɾɛtǝ
pwvm	¿La crítica rebutja la càtedra típica?		lǝ ˈkɾitikǝ ɾǝˈbut͡ʒǝ lǝ ˈkatǝð̞ɾǝ ˈtipikǝ
pwpm	¿La crítica rebutja la càtedra?			lǝ ˈkɾitikǝ ɾǝˈbut͡ʒǝ lǝ ˈkatǝð̞ɾǝ
kwdm	¿Lu capità no polta la caputxa fascinant?		lu kǝpiˈta no ˈpoltǝ lǝ kǝˈput͡ʃǝ fːǝʃiˈnant
kwsm	¿Lu capità no polta la caputxa petita?		lu kǝpiˈta no ˈpoltǝ lǝ kǝˈput͡ʃǝ pǝˈtitǝ
kwzm	¿Lu capità no polta la caputxa pràtica?		lu kǝpiˈta no ˈpoltǝ lǝ kǝˈput͡ʃǝ ˈpɾatikǝ
kwtm	¿Lu capità no polta la caputxa?			lu kǝpiˈta no ˈpoltǝ lǝ kǝˈput͡ʃǝ
kwjm	¿Lu capità no polta lu passapolt amb pràtica?	lu kǝpiˈta no ˈpoltǝ lu pǝsːǝˈpolt ǝmǝ ˈpɾatikǝ
