code	orthography	IPA
bwki	¿La cítara magrebí se toca con obsesión?	la ˈsitaɾa maɣ ̞ɾeˈβ̞i se ˈtoka kon oseˈsjoŋ 
bwka	La cítara magrebí se toca con obsesión.	la ˈsitaɾa maɣ ̞ɾeˈβ̞i se ˈtoka kon oseˈsjoŋ
bwpi	¿La cítara magrebí se toca con pánico?	la ˈsitaɾa maɣ ̞ɾeˈβ̞i se ˈtoka kom ˈpaniko
bwpa	La cítara magrebí se toca con pánico.	la ˈsitaɾa maɣ ̞ɾeˈβ̞i se ˈtoka kom ˈpaniko
bwti	¿La cítara magrebí se toca con paciencia?	la ˈsitaɾa maɣ ̞ɾeˈβ̞i se ˈtoka kom paˈsjensja
bwta	La cítara magrebí se toca con paciencia.	la ˈsitaɾa maɣ ̞ɾeˈβ̞i se ˈtoka kom paˈsjensja
dwki	¿La guitarra magrebí se toca con obsesión?	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i se ˈtoka kon oseˈsjoŋ
dwka	La guitarra magrebí se toca con obsesión.	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i se ˈtoka kon oseˈsjoŋ
dwpi	¿La guitarra magrebí se toca con pánico?	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i se ˈtoka kom ˈpaniko
dwpa	La guitarra magrebí se toca con pánico.	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i se ˈtoka kom ˈpaniko
dwti	¿La guitarra magrebí se toca con paciencia?	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i se ˈtoka kom paˈsjensja
dwta	La guitarra magrebí se toca con paciencia.	la ɣ ̞iˈtara maɣ ̞ɾeˈβ̞i se ˈtoka kom paˈsjensja
fwki	¿La cítara española se toca con obsesión?	la ˈsitaɾae̯p:aˈɲola se ˈtoka kon oseˈsjoŋ
fwka	La cítara española se toca con obsesión.	la ˈsitaɾae̯p:aˈɲola se ˈtoka kon oseˈsjoŋ
fwpi	¿La cítara española se toca con pánico?	la ˈsitaɾae̯p:aˈɲola se ˈtoka kom ˈpaniko
fwpa	La cítara española se toca con pánico.	la ˈsitaɾae̯p:aˈɲola se ˈtoka kom ˈpaniko
fwti	¿La cítara española se toca con paciencia?	la ˈsitaɾae̯p:aˈɲola se ˈtoka kom paˈsjensja
fwta	La cítara española se toca con paciencia.	la ˈsitaɾae̯p:aˈɲola se ˈtoka kom paˈsjensja
gwki	¿El saxofón español se toca con obsesión?	el sasoˈfon ep:aˈɲol se ˈtoka kon oseˈsjoŋ
gwka	El saxofón español se toca con obsesión.	el sasoˈfon ep:aˈɲol se ˈtoka kon oseˈsjoŋ
gwpi	¿El saxofón español se toca con pánico?	el sasoˈfon ep:aˈɲol se ˈtoka kom ˈpaniko
gwpa	El saxofón español se toca con pánico.	el sasoˈfon ep:aˈɲol se ˈtoka kom ˈpaniko
gwti	¿El saxofón español se toca con paciencia?	el sasoˈfon ep:aˈɲol se ˈtoka kom paˈsjensja
gwta	El saxofón español se toca con paciencia..	el sasoˈfon ep:aˈɲol se ˈtoka kom paˈsjensja
jwki	¿El saxofón clásico se toca con obsesión?	el sasoˈfon ˈklasiko se ˈtoka kon oseˈsjoŋ
jwka	El saxofón clásico se toca con obsesión.	el sasoˈfoŋ ˈklasiko se ˈtoka kon oseˈsjoŋ
