code	orthography	IPA
pwdm	¿La crítica no polta la caputxa fascinant?	lə ˈkɾitikə no ˈpoltə lə kəˈput͡ʃə fːəʃiˈnant
pwsm	¿La crítica no polta la caputxa petita?	lə ˈkɾitikə no ˈpoltə lə kəˈput͡ʃə pəˈtitə
pwzm	¿La crítica no polta la caputxa pràtica?	lə ˈkɾitikə no ˈpoltə lə kəˈput͡ʃə ˈpɾatikə
pwtm	¿La crítica no polta la caputxa?	lə ˈkɾitikə no ˈpoltə lə kəˈput͡ʃə
pwjm	¿La crítica no polta lu passapolt amb pràtica?	lə ˈkɾitikə no ˈpoltə lu pəsːəˈpolt əmə ˈpɾatikə
pwgm	¿La crítica no polta lu passapolt esquifós?	lə ˈkɾitikə no ˈpoltə lu pəsːəˈpolt əskiˈfos
pwxm	¿La crítica no polta lu passapolt impropi?	lə ˈkɾitikə no ˈpoltə lu pəsːəˈpolt əmˈpɾopi
pwkm	¿La crítica no polta lu passapolt?	lə ˈkɾitikə no ˈpoltə lu pəsːəˈpolt
fwtm	¿La crítica Picota no polta la caputxa?	lə ˈkɾitikə piˈkɔtə no ˈpoltə lə kəˈput͡ʃə
fwkm	¿La crítica Picota no polta lu passapolt?	lə ˈkɾitikə piˈkɔtə no ˈpoltə lu pəsːəˈpolt
fwpm	¿La crítica Picota rebutja la càtedra?	lə ˈkɾitikə piˈkɔtə ɾəˈbut͡ʒə lə ˈkatəð̞ɾə
vwtm	¿La crítica pràtica no polta la caputxa?	lə ˈkɾitikə ˈpɾatikə no ˈpoltə lə kəˈput͡ʃə
vwkm	¿La crítica pràtica no polta lu passapolt?	lə ˈkɾitikə ˈpɾatikə no ˈpoltə lu pəsːəˈpolt
vwpm	¿La crítica pràtica rebutja la càtedra?	lə ˈkɾitikə ˈpɾatikə ɾəˈbut͡ʒə lə ˈkatəð̞ɾə
bwtm	¿La crítica protestant no polta la caputxa?	lə ˈkɾitikə pɾutəsˈtant no ˈpoltə lə kəˈput͡ʃə
bwkm	¿La crítica protestant no polta lu passapolt?	lə ˈkɾitikə pɾutəsˈtant no ˈpoltə lu pəsːəˈpolt
bwpm	¿La crítica protestant rebutja la càtedra?	lə ˈkɾitikə pɾutəsˈtant ɾəˈbut͡ʒə lə ˈkatəð̞ɾə
pwbm	¿La crítica rebutja la càtedra astracant?	lə ˈkɾitikə ɾəˈbut͡ʒə lə ˈkatəð̞ɾə stɾəˈkant
pwfm	¿La crítica rebutja la càtedra completa?	lə ˈkɾitikə ɾəˈbut͡ʒə lə ˈkatəð̞ɾə kumˈpɾɛtə
pwvm	¿La crítica rebutja la càtedra típica?	lə ˈkɾitikə ɾəˈbut͡ʒə lə ˈkatəð̞ɾə ˈtipikə
pwpm	¿La crítica rebutja la càtedra?	lə ˈkɾitikə ɾəˈbut͡ʒə lə ˈkatəð̞ɾə
kwdm	¿Lu capità no polta la caputxa fascinant?	lu kəpiˈta no ˈpoltə lə kəˈput͡ʃə fːəʃiˈnant
kwsm	¿Lu capità no polta la caputxa petita?	lu kəpiˈta no ˈpoltə lə kəˈput͡ʃə pəˈtitə
kwzm	¿Lu capità no polta la caputxa pràtica?	lu kəpiˈta no ˈpoltə lə kəˈput͡ʃə ˈpɾatikə
kwtm	¿Lu capità no polta la caputxa?	lu kəpiˈta no ˈpoltə lə kəˈput͡ʃə
kwjm	¿Lu capità no polta lu passapolt amb pràtica?	lu kəpiˈta no ˈpoltə lu pəsːəˈpolt əmə ˈpɾatikə
kwgm	¿Lu capità no polta lu passapolt esquifós?	lu kəpiˈta no ˈpoltə lu pəsːəˈpolt əskiˈfos
kwxm	¿Lu capità no polta lu passapolt impropi?	lu kəpiˈta no ˈpoltə lu pəsːəˈpolt əmˈpɾopi
kwkm	¿Lu capità no polta lu passapolt?	lu kəpiˈta no ˈpoltə lu pəsːəˈpolt
xwtm	¿Lu capità patxoto no polta la caputxa?	lu kəpiˈta pəˈt͡ʃotu no ˈpoltə lə kəˈput͡ʃə
xwkm	¿Lu capità patxoto no polta lu passapolt?	lu kəpiˈta pəˈt͡ʃotu no ˈpoltə lu pəsːəˈpolt
xwpm	¿Lu capità patxoto rebutja la càtedra?	lu kəpiˈta pəˈt͡ʃotu ɾəˈbut͡ʒə lə ˈkatəð̞ɾə
gwtm	¿Lu capità protestant no polta la caputxa?	lu kəpiˈta pɾutəsˈtant no ˈpoltə lə kəˈput͡ʃə
gwkm	¿Lu capità protestant no polta lu passapolt?	lu kəpiˈta pɾutəsˈtant no ˈpoltə lu pəsːəˈpolt
gwpm	¿Lu capità protestant rebutja la càtedra?	lu kəpiˈta pɾutəsˈtant ɾəˈbut͡ʒə lə ˈkatəð̞ɾə
kwbm	¿Lu capità rebutja la càtedra astracant?	lu kəpiˈta ɾəˈbut͡ʒə lə ˈkatəð̞ɾə stɾəˈkant
kwfm	¿Lu capità rebutja la càtedra completa?	lu kəpiˈta ɾəˈbut͡ʒə lə ˈkatəð̞ɾə kumˈpɾɛtə
