code	orthography	IPA
kwkn	El capità no porta el passaport 	el kapiˈta no ˈpɔrtɛl pasaˈpɔrt
kwpn	El capità no ocupa la càtedra	el kapiˈta no:ˈkupɛ la ˈkateð̞ɾɛ
kwtn	El capità no porta la caputxa	el kapiˈta no ˈpɔrtɛ la kaˈput͡ʃɛ
pwkn	La crítica no porta el passaport	la ˈkɾitikɛ no ˈpɔrtɛl pasaˈpɔrt
pwpn	La crítica no ocupa la càtedra	la ˈkɾitikɛ no:ˈkupɛ la ˈkateð̞ɾɛ
pwtn	La crítica no porta la caputxa	la ˈkɾitikɛ no ˈpɔrtɛ la kaˈput͡ʃɛ
twkn	El copista no porta el passaport	el koˈpistɛ no ˈpɔrtɛl pasaˈpɔrt
twpn	El copista no ocupa la càtedra	el koˈpistɛ no:ˈkupɛ la ˈkateð̞ɾɛ
twtn	El copista no porta la caputxa	el koˈpistɛ no ˈpɔrtɛ la kaˈ put͡ʃɛ
bwkn	La crítica protestant no porta el passaport	la ˈkɾitikɛ pɾotesˈtan no ˈpɔrtɛl pasaˈpɔrt
bwpn	La crítica protestant no ocupa la càtedra	la ˈkɾitikɛ pɾotesˈtan no:ˈkupɛ la ˈkateð̞ɾɛ
bwtn	La crítica protestant no porta la caputxa	la ˈkɾitikɛ pɾotesˈtan no ˈpɔrtɛ la kaˈput͡ʃɛ
dwkn	El copista protestant no porta el passaport	el koˈpistɛ pɾotesˈtan no ˈpɔrtɛl pasaˈpɔrt
dwpn	El copista protestant no ocupa la càtedra	el koˈpistɛ pɾotesˈtan no:ˈkupɛ la ˈkateð̞ɾɛ
dwtn	El copista protestant no porta la caputxa	el koˈpistɛ pɾotesˈtan no ˈpɔrtɛ la kaˈput͡ʃɛ
fwkn	La crítica tanoca no porta el passaport	la ˈkɾitikɛ taˈnɔkɛ no ˈpɔrtɛl pasaˈpɔrt
fwpn	La crítica tanoca no ocupa la càtedra	la ˈkɾitikɛ taˈnɔkɛ no:ˈkupɛ la ˈkateð̞ɾɛ
fwtn	La crítica tanoca no porta la caputxa	la ˈkɾitikɛ taˈnɔkɛ no ˈpɔrtɛ la kaˈput͡ʃɛ
gwkn	El capità protestant no porta el passaport	el kapiˈta pɾotesˈtan no ˈpɔrtɛl pasaˈpɔrt
gwpn	El capità protestant no ocupa la càtedra	el kapiˈta pɾotesˈtan no:ˈkupɛ la ˈkateð̞ɾɛ
gwtn	El capità protestant no porta la caputxa	el kapiˈta pɾotesˈtan no ˈpɔrtɛ la kaˈput͡ʃɛ
jwkn	El capità sòcrates no porta el passaport	el kapiˈta ˈsokɾates no ˈpɔrtɛl pasaˈpɔrt
jwpn	El capità sòcrates no ocupa la càtedra	el kapiˈta ˈsokɾates no:ˈkupɛ la ˈkateð̞ɾɛ
jwtn	El capità sòcrates no porta la caputxa	el kapiˈta ˈsokɾates no ˈpɔrtɛ la kaˈput͡ʃɛ
swkn	El copista intrèpid no porta el passaport	el koˈpistɛi̯nˈtɾɛpit no ˈpɔrtɛl pasaˈpɔrt
swpn	El copista intrèpid no ocupa la càtedra	el koˈpistɛi̯nˈtɾɛpit no:ˈkupɛ la ˈkateð̞ɾɛ
swtn	El copista intrèpid no porta la caputxa	el koˈpistɛi̯nˈtɾɛpit no ˈpɔrtɛ la kaˈput͡ʃɛ
vwkn	La crítica pràctica no porta el passaport	la ˈkɾitikɛ ˈpɾaktikɛ no ˈpɔrtɛl pasaˈpɔrt
vwpn	La crítica pràctica no ocupa la càtedra	la ˈkɾitikɛ ˈpɾaktikɛ no:ˈkupɛ la ˈkateð̞ɾɛ
