code	orthography	IPA
kwtn	El capità portava la caputxa.	əl kəpiˈta puRˈtaβ̞ə lə kəˈput͡ʃə
kwsm	El capità portava la caputxa petita?	əl kəpiˈta puRˈtaβ̞ə lə kəˈput͡ʃə pəˈtitə
dwtn	El copista protestant portava la caputxa.	əl kuˈpistə pRutəsˈtan puRˈtaβ̞ə lə kəˈput͡ʃə
kwsy	Que portava la caputxa petita el capità?	kə puRˈtaβ̞ə lə kəˈput͡ʃə pəˈtitəl kəpiˈta
swtn	El copista catòlic portava la caputxa.	əl kuˈpistə kəˈtolik puRˈtaβ̞ə lə kəˈput͡ʃə
kwxm	El capità portava el passaport egipci?	əl kəpiˈta puRˈtaβ̞əl pəsəˈpoR əˈʒipsi
twdn	El copista portava la caputxa de color.	əl kuˈpistə puRˈtaβ̞ə lə kəˈput͡ʃə ðə kuˈlo
twdy	Que portava la caputxa de color el copista?	kə puRˈtaβ̞ə lə kəˈput͡ʃə ðə kuˈ loə̯̯l kuˈpistə
dwty	Que portava la caputxa el copista protestant?	kə puRˈtaβ̞ə lə kəˈput͡ʃəl kuˈpistə pRutəsˈtan
kwky	Que portava el passaport el capità?	kə puRˈtaβ̞əl pəsəˈpoR əl kəpiˈta
dwkn	El copista protestant portava el passaport.	əl kuˈpistə pRutəsˈtan puRˈtaβ̞əl pəsəˈpoR
kwxy	Que portava el passaport egipci el capità?	kə puRˈtaβ̞əl pəsəˈpoR əˈʒipsjəl kəpiˈta
xwkn	El capità catòlic portava el passaport.	əl kəpiˈta kəˈtolik puRˈtaβ̞əl pəsəˈpoR
kwgy	Que portava el passaport nacional el capità?	kə puRˈtaβ̞əl pəsəˈpoR nəˈsjunal əl kəpiˈta
kwxn	El capità portava el passaport egipci.	əl kəpiˈta puRˈtaβ̞əl pəsəˈpoR əˈʒipsi
twdm	El copista portava la caputxa de color?	əl kuˈpistə puRˈtaβ̞ə lə kəˈput͡ʃə ðə kuˈlo
swkn	El copista catòlic portava el passaport.	əl kuˈpistə kəˈtolik puRˈtaβ̞əl pəsəˈpoR
