code	orthography	IPA
kwkn	El capità no porta el passaport 	əl kəpiˈta no ˈpɔrtəl pəsəˈpɔr 
kwpn	El capità no ocupa la càtedra	əl kəpiˈta nou̯ˈkupə lə ˈkatəð̞ɾə
kwtn	El capità no porta la caputxa	əl kəpiˈta no ˈpɔrtə lə kəˈput͡ʃə
pwkn	La crítica no porta el passaport	lə ˈkɾitikə no ˈpɔrtəl pəsəˈpɔr
pwpn	La crítica no ocupa la càtedra	lə ˈkɾitikə nou̯ˈkupə lə ˈkatəð̞ɾə
pwtn	La crítica no porta la caputxa	lə ˈkɾitikə no ˈpɔrtə lə kəˈput͡ʃə
twkn	El copista no porta el passaport	əl kuˈpistə no ˈpɔrtəl pəsəˈpɔr
twpn	El copista no ocupa la càtedra	əl kuˈpistə nou̯ˈkupə lə ˈkatəð̞ɾə
twtn	El copista no porta la caputxa	əl kuˈpistə no ˈpɔrtə lə kəˈput͡ʃə
bwkn	La crítica protestant no porta el passaport	lə ˈkɾitikə pɾutəsˈtan no ˈpɔrtəl pəsəˈpɔr
bwpn	La crítica protestant no ocupa la càtedra	lə ˈkɾitikə pɾutəsˈtan nou̯ˈkupə lə ˈkatəð̞ɾə
bwtn	La crítica protestant no porta la caputxa	lə ˈkɾitikə pɾutəsˈtan no ˈpɔrtə lə kəˈput͡ʃə
dwkn	El copista protestant no porta el passaport	əl kuˈpistə pɾutəsˈtan no ˈpɔrtəl pəsəˈpɔr
dwpn	El copista protestant no ocupa la càtedra	əl kuˈpistə pɾutəsˈtan nou̯ˈkupə lə ˈkatəð̞ɾə
dwtn	El copista protestant no porta la caputxa	əl kuˈpistə pɾutəsˈtan no ˈpɔrtə lə kəˈput͡ʃə
fwkn	La crítica tanoca no porta el passaport	lə ˈkɾitikə təˈnɔkə no ˈpɔrtəl pəsəˈpɔr
fwpn	La crítica tanoca no ocupa la càtedra	lə ˈkɾitikə təˈnɔkə nou̯ˈkupə lə ˈkatəð̞ɾə
fwtn	La crítica tanoca no porta la caputxa	lə ˈkɾitikə təˈnɔkə no ˈpɔrtə lə kəˈput͡ʃə
gwkn	El capità protestant no porta el passaport	əl kəpiˈta pɾutəsˈtan no ˈpɔrtəl pəsəˈpɔr
gwpn	El capità protestant no ocupa la càtedra	əl kəpiˈta pɾutəsˈtan nou̯ˈkupə lə ˈkatəð̞ɾə
gwtn	El capità protestant no porta la caputxa	əl kəpiˈta pɾutəsˈtan no ˈpɔrtə lə kəˈput͡ʃə
jwkn	El capità sòcrates no porta el passaport	əl kəpiˈta ˈsɔkɾətəs no ˈpɔrtəl pəsəˈpɔr
jwpn	El capità sòcrates no ocupa la càtedra	əl kəpiˈta ˈsɔkɾətəs nou̯ˈkupə lə ˈkatəð̞ɾə
jwtn	El capità sòcrates no porta la caputxa	əl kəpiˈta ˈsɔkɾətəs no ˈpɔrtə lə kəˈput͡ʃə
swkn	El copista intrèpid no porta el passaport	əl kuˈpistəi̯nˈtɾɛpit no ˈpɔrtəl pəsəˈpɔr
swpn	El copista intrèpid no ocupa la càtedra	əl kuˈpistəi̯nˈtɾɛpit nou̯ˈkupə lə ˈkatəð̞ɾə
swtn	El copista intrèpid no porta la caputxa	əl kuˈpistəi̯nˈtɾɛpit no ˈpɔrtə lə kəˈput͡ʃə
vwkn	La crítica pràctica no porta el passaport	lə ˈkɾitikə ˈpɾaktikə no ˈpɔrtəl pəsəˈpɔr
vwpn	La crítica pràctica no ocupa la càtedra	lə ˈkɾitikə ˈpɾaktikə nou̯ˈkupə lə ˈkatəð̞ɾə
vwtn	La crítica pràctica no porta la caputxa	lə ˈkɾitikə ˈpɾaktikə no ˈpɔrtə lə kəˈput͡ʃə
xwkn	El capità intrèpid no porta el passaport	əl kəpiˈtai̯nˈtɾɛpit no ˈpɔrtəl pəsəˈpɔr
xwpn	El capità intrèpid no ocupa la càtedra	əl kəpiˈtai̯nˈtɾɛpit nou̯ˈkupə lə ˈkatəð̞ɾə
xwtn	El capità intrèpid no porta la caputxa	əl kəpiˈtai̯nˈtɾɛpit no ˈpɔrtə lə kəˈput͡ʃə
zwkn	El copista sòcrates no porta el passaport	əl kuˈpistə ˈsɔkɾətəs no ˈpɔrtəl pəsəˈpɔr
zwpn	El copista sòcrates no ocupa la càtedra	əl kuˈpistə ˈsɔkɾətəs nou̯ˈkupə lə ˈkatəð̞ɾə
zwtn	El copista sòcrates no porta la caputxa	əl kuˈpistə ˈsɔkɾətəs no ˈpɔrtə lə kəˈput͡ʃə
kwbn	El capità no ocupa la càtedra contrincant	əl kəpiˈta nou̯ˈkupə lə ˈkatəð̞ɾə kuntɾiŋˈkan
kwdn	El capità no porta la caputxa llampegant	əl kəpiˈta no ˈpɔrtə lə kəˈput͡ʃə ʎəmpəˈɣ ̞an
kwfn	El capità no ocupa la càtedra completa	əl kəpiˈta nou̯ˈkupə lə ˈkatəð̞ɾə kumˈplɛtə
kwgn	El capità no porta el passaport pintoresc	əl kəpiˈta no ˈpɔrtəl pəsəˈpɔr pintuˈɾɛsk
kwjn	El capità no porta el passaport amb pràctica	əl kəpiˈta no ˈpɔrtəl pəsəˈpɔr əm ˈpɾaktikə
kwsn	El capità no porta la caputxa petita	əl kəpiˈta no ˈpɔrtə lə kəˈput͡ʃə pəˈtitə
